"占线 (zhànxiàn)","máy bận","Khi gọi điện thoại mà đầu dây bên kia đang có cuộc gọi khác."
"过 (guò)","trải qua, qua","Dùng cho thời gian trôi qua hoặc đón dịp lễ (vd: guò shēngrì)."
"愉快 (yúkuài)","vui vẻ","Trạng thái hạnh phúc, thoải mái (thường dùng chúc mừng)."
"报名 (bàomíng)","đăng ký","Ghi danh tham gia một lớp học hoặc cuộc thi."
"安排 (ānpái)","sắp xếp, bố trí","Sắp đặt công việc, thời gian một cách hợp lý."
"游玩 (yóuwán)","đi chơi, du ngoạn","Hành động đi tham quan, vui chơi giải trí."
"于 (yú)","tại, vào lúc","Giới từ chỉ thời gian hoặc địa điểm (trang trọng)."
"集合 (jíhé)","tập hợp","Nhiều người tụ họp lại một điểm theo yêu cầu."
"学生证 (xuéshēngzhèng)","thẻ học sinh","Giấy tờ chứng minh đang là học sinh/sinh viên."
"通知 (tōngzhī)","thông báo","Báo tin cho nhiều người biết về một sự việc."
"打折 (dǎzhé)","giảm giá","Ví dụ: dǎ bā zhé là chỉ còn 80% giá (giảm 20%)."
"正好 (zhènghǎo)","vừa vặn, đúng lúc","Sự việc xảy ra một cách ngẫu nhiên nhưng rất phù hợp."
"不少 (bùshǎo)","nhiều","Không ít, mang nghĩa có số lượng khá lớn."
"牛仔裤 (niúzǎikù)","quần jeans","Loại quần bền bằng vải bò, lượng từ là 'tiáo'."
"陪 (péi)","đồng hành, đi cùng","Ở bên cạnh hoặc đi cùng ai đó để hỗ trợ."
"工艺品 (gōngyìpǐn)","đồ thủ công","Các sản phẩm nghệ thuật làm bằng tay."
"收银台 (shōuyíntái)","quầy thu ngân","Nơi thanh toán tiền trong cửa hàng hoặc siêu thị."
"收集 (shōují)","thu thập, sưu tầm","Gom góp các thứ lại (vd: sưu tầm tem, thu thập ý kiến)."
"交 (jiāo)","nộp, giao, kết bạn","Nộp bài tập, nộp tiền hoặc kết giao bạn bè."
"毛衣 (máoyī)","áo len","Loại áo dệt từ sợi len để giữ ấm."
"传统 (chuántǒng)","truyền thống","Những thói quen, phong tục lâu đời."
"功能 (gōngnéng)","chức năng","Công dụng hoặc tính năng của một thiết bị."
"主要 (zhǔyào)","chủ yếu, chính","Phần quan trọng nhất, cốt lõi nhất."
"特点 (tèdiǎn)","đặc điểm","Nét riêng biệt để nhận dạng một người hoặc vật."
"旗袍 (qípáo)","xường xám","Trang phục truyền thống của phụ nữ Trung Quốc."
"天津 (Tiānjīn)","Thiên Tân","Tên một thành phố lớn ở Trung Quốc."
"山西 (Shānxī)","Sơn Tây","Tên một tỉnh của Trung Quốc."
"贵州 (Guìzhōu)","Quý Châu","Tên một tỉnh của Trung Quốc."
"湖南 (Húnán)","Hồ Nam","Tên một tỉnh của Trung Quốc."
"三亚 (Sānyà)","Tam Á","Tên một thành phố du lịch ở đảo Hải Nam."
"哈尔滨 (Hā'ěrbīn)","Cáp Nhĩ Tân","Thành phố nổi tiếng với lễ hội băng tuyết."
"四川 (Sìchuān)","Tứ Xuyên","Tên một tỉnh nổi tiếng với món cay tê."
"广州 (Guǎngzhōu)","Quảng Châu","Thành phố lớn ở miền Nam Trung Quốc."
"麻辣烫 (málàtàng)","lẩu Malatang","Món lẩu cay tê đặc trưng của Trung Quốc."
"酸辣汤 (suānlàtāng)","canh chua cay","Loại súp có vị chua và cay kết hợp."
"点心 (diǎnxin)","điểm tâm, món ăn nhẹ","Các món ăn nhẹ hoặc bữa sáng."
"售货员 (shòuhuòyuán)","nhân viên bán hàng","Người phục vụ khách hàng tại cửa hàng."
"式样 (shìyàng)","kiểu dáng, mẫu mã","Hình dáng, thiết kế của sản phẩm (quần áo, đồ vật)."
"适合 (shìhé)","phù hợp với","Động từ: A phù hợp với B (ví dụ: việc này hợp với tôi)."
"那 (nà)","thế thì, vậy thì","Liên từ dùng để đưa ra kết luận dựa trên ý trước đó."
"出差 (chūchāi)","đi công tác","Đi làm việc ở một nơi xa theo yêu cầu của công ty."
"退 (tuì)","trả lại, lùi lại","Trả lại hàng hóa hoặc tiền vé."
"小票 (xiǎopiào)","hóa đơn lẻ","Biên lai thanh toán nhỏ tại quầy."
"发票 (fāpiào)","hóa đơn đỏ/VAT","Hóa đơn chính thức dùng để báo cáo thuế."
"钱包 (qiánbāo)","ví tiền","Cái túi nhỏ dùng để đựng tiền mặt và thẻ."
"跟 (gēn)","đi theo, cùng","Hành động đi theo sau ai đó hoặc làm cùng ai."
"麻烦 (máfan)","làm phiền, phiền phức","Gây khó khăn cho người khác hoặc sự việc rắc rối."
"平时 (píngshí)","thường ngày, bình thường","Thời gian rảnh rỗi hoặc thói quen hàng ngày."
"顶 (dǐng)","cái (mũ)","Lượng từ dùng cho nón, mũ hoặc những vật có chóp."
"帽子 (màozi)","cái nón, mũ","Đồ dùng để đội lên đầu."
"来回 (láihuí)","khứ hồi, lượt đi lượt về","Hành động đi rồi quay lại cùng một quãng đường."
"就 (jiù)","liền, ngay","Phó từ nhấn mạnh sự sớm hoặc ngay lập tức."
"中介 (zhōngjiè)","môi giới","Người hoặc tổ chức làm cầu nối (vd: môi giới nhà đất)."
"租 (zū)","thuê","Trả tiền để sử dụng nhà, xe trong một thời gian."
"出租 (chūzū)","cho thuê","Hành động cho người khác thuê tài sản của mình."
"到期 (dàoqī)","đến hạn, đáo hạn","Khi thời gian hợp đồng hoặc cam kết kết thúc."
"套 (tào)","căn (nhà), bộ","Lượng từ cho căn hộ hoặc bộ combo/set."
"小区 (xiǎoqū)","khu dân cư","Khu vực sinh sống tập trung có nhiều tòa nhà."
"电梯 (diàntī)","thang máy","Thiết bị dùng để di chuyển lên xuống trong tòa nhà."
"楼梯 (lóutī)","cầu thang bộ","Lối đi bộ lên xuống giữa các tầng nhà."
"广告 (guǎnggào)","quảng cáo","Thông tin giới thiệu sản phẩm đến người tiêu dùng."
"抽空 (chōukòng)","tranh thủ thời gian","Dành ra một khoảng thời gian ngắn giữa lúc bận rộn."
"不见不散 (bùjiàn bùsàn)","không gặp không về","Lời hẹn chắc chắn sẽ chờ đợi nhau."
"丢 (diū)","mất, thất lạc","Làm rơi hoặc bị mất đồ vật gì đó."
"事故 (shìgù)","sự cố, tai nạn","Sự việc không may xảy ra (thường là giao thông)."
"道理 (dàolǐ)","đạo lý, có lý","Quy luật cư xử hoặc tính hợp lý của vấn đề."
"答应 (dāying)","đồng ý, hứa","Chấp thuận lời yêu cầu hoặc hứa hẹn làm gì đó."
"请求 (qǐngqiú)","thỉnh cầu, xin","Lời nhờ vả hoặc cầu xin một cách lịch sự."
"要求 (yāoqiú)","yêu cầu","Đòi hỏi hoặc tiêu chuẩn cần đạt được."
"收到 (shōudào)","nhận được","Hành động nhận được vật phẩm hoặc tin nhắn."
"提高 (tígāo)","nâng cao, cải thiện","Làm cho trình độ hoặc chất lượng tốt hơn lên."
"提出 (tíchū)","nêu ra, đề xuất","Đưa ra ý kiến hoặc vấn đề để bàn luận."
"提 (tí)","nhắc đến, xách","Hành động nhắc lại chuyện cũ hoặc cầm xách đồ."
"搬家 (bānjiā)","dọn nhà","Chuyển từ nơi ở cũ sang nơi ở mới."
"搬 (bān)","chuyển, bê, khiêng","Di chuyển đồ vật nặng hoặc xê dịch vị trí."
"把 (bǎ)","cầm, nắm","Giới từ dùng trong câu chữ 'Bǎ' để xử lý đối tượng."
"房租 (fángzū)","tiền thuê nhà","Khoản tiền phải trả hàng tháng để ở nhà thuê."
"公寓 (gōngyù)","chung cư, căn hộ","Nơi ở trong tòa nhà nhiều tầng hiện đại."
"卧室 (wòshì)","phòng ngủ","Căn phòng dùng để nghỉ ngơi, ngủ nghỉ."
"周围 (zhōuwéi)","xung quanh","Vùng bao quanh một địa điểm cụ thể."
"环境 (huánjìng)","môi trường, hoàn cảnh","Điều kiện tự nhiên hoặc xã hội xung quanh."
"干净 (gānjìng)","sạch sẽ","Trạng thái không bị bẩn, gọn gàng."
"又 (yòu)","lại, vừa... vừa...","Lặp lại hành động hoặc có cùng lúc hai tính chất."
"帅气 (shuàiqì)","đẹp trai, bảnh bao","Vẻ ngoài thu hút của nam giới."
"刚才 (gāngcái)","vừa nãy, lúc nãy","Danh từ chỉ thời gian vừa mới trôi qua."
"刚 (gāng)","vừa mới","Phó từ chỉ hành động vừa mới xảy ra."
"校园 (xiàoyuán)","khuôn viên trường","Khu vực bên trong trường học."
"好处 (hǎochù)","lợi ích","Điểm tốt, ưu điểm của một sự việc hoặc hành động."
"面积 (miànjī)","diện tích","Độ lớn bề mặt của một khu vực."
"吵 (chǎo)","ồn ào, cãi nhau","Âm thanh gây khó chịu hoặc việc tranh cãi gay gắt."
"顿 (dùn)","bữa (ăn), trận","Lượng từ cho bữa cơm hoặc trận mắng/đánh."
"新 (xīn)","mới","Tính chất chưa qua sử dụng hoặc mới xuất hiện."
"开 (kāi)","mở, bật, lái xe","Hành động mở cửa, bật đèn hoặc vận hành xe."
"味道 (wèidào)","hương vị","Mùi vị của thức ăn hoặc cảm nhận về một điều gì đó."
"不过 (bùguò)","nhưng, chỉ là","Liên từ dùng để chuyển ý hoặc giới hạn mức độ."
"AA制 (AAzhì)","chia tiền (Campuchia)","Mỗi người tự trả phần của mình khi đi ăn."
"并不 (bìng bù)","không hề, chẳng hề","Phó từ nhấn mạnh việc phủ định sự thật."
"风景 (fēngjǐng)","phong cảnh","Quang cảnh thiên nhiên đẹp mắt."
"健康 (jiànkāng)","khỏe mạnh, sức khỏe","Trạng thái cơ thể tốt, không bị bệnh tật."
"打扫 (dǎsǎo)","quét dọn, vệ sinh","Làm sạch không gian nhà cửa, phòng ốc."
"成绩 (chéngjì)","thành tích, kết quả","Kết quả đạt được trong học tập hoặc công việc."
"放学 (fàngxué)","tan học","Kết thúc giờ học tại trường."
"活动 (huódòng)","hoạt động","Sự kiện hoặc hành động vận động cơ thể."
"快餐 (kuàicān)","đồ ăn nhanh","Các món ăn chế biến nhanh (fast food)."
"骂 (mà)","chửi mắng","Hành động dùng lời nói để phê bình gắt gao."
"感情 (gǎnqíng)","tình cảm","Cảm xúc giữa người với người (yêu đương, bạn bè)."
"合同 (hétóng)","hợp đồng","Văn bản ký kết cam kết giữa hai bên."
"口红 (kǒuhóng)","son môi","Đồ trang điểm cho môi của phụ nữ."
"糖 (táng)","đường, kẹo","Chất ngọt hoặc các loại kẹo viên."
"坏话 (huàihuà)","lời nói xấu","Nói những điều không tốt về người khác sau lưng."
"难怪 (nánguài)","thảo nào, hèn chi","Dùng khi nhận ra nguyên nhân của một sự việc."
"外卖 (wàimài)","đồ mang đi, giao hàng","Đồ ăn đặt qua mạng mang đến tận nơi."
"碗 (wǎn)","tô, chén","Đồ dùng để đựng cơm, canh hoặc lượng từ."
"遇到 (yùdào)","gặp phải, chạm mặt","Tình cờ gặp ai đó hoặc gặp vấn đề."
"排球 (páiqiú)","bóng chuyền","Môn thể thao dùng tay đánh bóng qua lưới."
"突然 (tūrán)","đột nhiên, bất ngờ","Sự việc xảy ra nhanh chóng, không lường trước."
"光临 (guānglín)","ghé thăm, đến dự","Lời chào mừng khách đến (vd: huānyíng guānglín)."
"还是 (háishi)","vẫn nên là, hay là","Đưa ra lựa chọn hoặc quyết định cuối cùng."
"随便 (suíbiàn)","tùy ý, tự nhiên","Làm theo ý thích, không câu nệ."
"特色 (tèsè)","đặc sắc, đặc trưng","Điểm riêng biệt nổi bật của một nơi/món ăn."
"加 (jiā)","thêm, cộng","Hành động cho thêm vào hoặc làm phép cộng."
"果汁 (guǒzhī)","nước trái cây","Nước ép từ các loại hoa quả."
"剩 (shèng)","dư, thừa","Những gì còn lại sau khi đã dùng xong."
"打包 (dǎbāo)","gói mang về","Gói đồ ăn còn thừa mang về từ nhà hàng."
"买单 (mǎidān)","tính tiền, thanh toán","Hành động trả tiền sau khi ăn uống/mua sắm."
"西红柿 (xīhóngshì)","cà chua","Loại quả đỏ dùng nấu ăn (còn gọi là fānqié)."
"圣女果 (shèngnǚguǒ)","cà chua bi","Loại cà chua nhỏ như trái nho."
"西蓝花 (xīlánhuā)","súp lơ xanh","Loại rau có hình dạng giống bông hoa màu xanh."
"鱼香肉丝 (yúxiāng ròusī)","thịt sợi hương cá","Một món ăn nổi tiếng của ẩm thực Trung Hoa."
"辣子鸡丁 (làzi jīdīng)","gà xào ớt","Món gà cắt nhỏ xào cùng nhiều ớt."
"家常菜 (jiāchángcài)","món ăn gia đình","Các món nấu tại nhà đơn giản thường ngày."
"料理 (liàolǐ)","món ăn, ẩm thực","Cách gọi các loại món ăn (vd: Nhật Bản liàolǐ)."
"有点儿也不 (yǒudiǎnr yě bù)","một chút cũng không","Dùng để phủ định hoàn toàn mức độ."
"可是 (kěshì)","nhưng mà","Liên từ dùng để chuyển ý trái ngược."
"进步 (jìnbù)","tiến bộ","Sự phát triển tốt hơn so với trước đây."
"怎么办 (zěnmebàn)","làm sao bây giờ","Câu hỏi tìm cách giải quyết khi gặp khó khăn."
"改变 (gǎibiàn)","thay đổi","Làm cho khác đi so với trạng thái ban đầu."
"习惯 (xíguàn)","thói quen, quen với","Hành động lặp lại lâu ngày hoặc sự thích nghi."
" should (yīnggāi)","nên, cần phải","Lời khuyên hoặc suy đoán điều gì đó nên xảy ra."
"小时 (xiǎoshí)","tiếng đồng hồ","Đơn vị đo thời gian (60 phút)."
"分钟 (fēnzhōng)","phút","Đơn vị đo thời gian nhỏ hơn giờ."
"离开 (líkāi)","rời khỏi, rời đi","Hành động đi khỏi một nơi nào đó."
"阅览室 (yuèlǎnshì)","phòng đọc sách","Không gian yên tĩnh trong thư viện để đọc sách."
"极了 (jíle)","cực kỳ, vô cùng","Dùng sau tính từ để nhấn mạnh mức độ cao nhất."
"条件 (tiáojiàn)","điều kiện","Yêu cầu cần có hoặc hoàn cảnh sống/học tập."
"主意 (zhǔyi)","ý kiến, chủ ý","Ý tưởng hoặc cách giải quyết trong đầu."
"主食 (zhǔshí)","món chính","Các món như cơm, mì, bánh bao trong bữa ăn."
"页 (yè)","trang (sách)","Đơn vị đếm số mặt giấy của một cuốn sách."
"炒 (chǎo)","xào, chiên","Cách chế biến thực phẩm bằng chảo nóng và dầu."
"计算机 (jìsuànjī)","máy tính","Thiết bị điện tử xử lý dữ liệu (computer)."
"药水 (yàoshuǐ)","thuốc nước","Thuốc được bào chế dưới dạng lỏng."
"数 (shù)","con số","Danh từ chỉ các con số toán học."
"数 (shǔ)","đếm","Động từ thực hiện việc đếm số lượng."
"重新 (chóngxīn)","làm lại từ đầu","Thực hiện lại hành động một lần nữa một cách mới mẻ."
"台球 (táiqiú)","bida","Môn thể thao dùng gậy đẩy bóng trên bàn."
"清楚 (qīngchu)","rõ ràng","Trạng thái dễ nhìn, dễ nghe, dễ hiểu."
"篇 (piān)","bài (văn), tờ","Lượng từ cho các bài văn, bài báo."
"文章 (wénzhāng)","bài văn","Nội dung văn bản được viết ra."
"粗心 (cūxīn)","bất cẩn, cẩu thả","Làm việc thiếu sự tỉ mỉ, hay sai sót."
"中医 (zhōngyī)","đông y","Nền y học cổ truyền Trung Quốc."
"月份 (yuèfèn)","tháng","Cách gọi các tháng trong năm một cách trang trọng."
"熟 (shú)","quen thuộc, chín","Thức ăn đã chín hoặc người đã quen thân."
"难忘 (nánwàng)","khó quên","Kỷ niệm hoặc ấn tượng sâu sắc không thể quên."
"只好 (zhǐhǎo)","đành phải","Phải làm điều gì đó vì không còn cách nào khác."
"表 (biǎo)","đồng hồ đeo tay","Thiết bị xem thời gian đeo ở cổ tay."
"都……了 (dōu...le)","đã... rồi","Cấu trúc nhấn mạnh một sự việc đã xảy ra."
"意思 (yìsi)","ý nghĩa, thú vị","Nghĩa của từ hoặc sự lôi cuốn của sự việc."
"懂事 (dǒngshì)","hiểu chuyện","Đứa trẻ hoặc người cư xử đúng mực, biết suy nghĩ."
"半天 (bàntiān)","nửa ngày, rất lâu","Dùng để chỉ một khoảng thời gian dài chờ đợi."
"整天 (zhěngtiān)","cả ngày, suốt ngày","Dùng để chỉ hành động kéo dài suốt cả ngày."
"存 (cún)","gửi, lưu trữ","Hành động gửi tiền tiết kiệm hoặc lưu dữ liệu."
"存款 (cúnkuǎn)","tiền gửi tiết kiệm","Khoản tiền đang để trong ngân hàng."
"存折 (cúnzhé)","sổ tiết kiệm","Cuốn sổ ghi chép giao dịch tiền gửi ngân hàng."
"坏 (huài)","hư, hỏng, xấu","Đồ vật bị hỏng hoặc người có tâm địa không tốt."
"丑陋 (chǒulòu)","xấu xí","Vẻ ngoài không đẹp hoặc hành vi đáng hổ thẹn."
"排队 (páiduì)","xếp hàng","Đứng theo thứ tự để chờ đến lượt."
"修 (xiū)","sửa chữa","Làm cho đồ vật hỏng hoạt động trở lại."
"多 (duō)","biết bao, dường như","Dùng trong câu cảm thán để nhấn mạnh mức độ."
"着急 (zháojí)","lo lắng, sốt ruột","Cảm giác nôn nóng khi gặp chuyện gấp hoặc chờ đợi."
"别提了 (biétíle)","đừng nhắc đến nữa","Dùng khi không muốn nói về một chuyện không vui."
"倒霉 (dǎoméi)","xui xẻo","Gặp những chuyện không may mắn (ít dùng)."
"运气不好 (yùnqi bùhǎo)","vận may không tốt","Cách nói thông dụng khi gặp chuyện xui xẻo."
"生气 (shēngqì)","tức giận","Cảm xúc phẫn nộ khi không hài lòng."
"语伴 (yǔbàn)","bạn cùng học ngôn ngữ","Người cùng luyện tập ngoại ngữ với mình."
"练 (liàn)","luyện tập","Thực hiện một kỹ năng nhiều lần để thành thạo."
"多 (duō)","hơn","Dùng sau số từ để chỉ số lượng dư ra (vd: sān shí duō)."
"几 (jǐ)","mấy, vài","Chỉ một số lượng không xác định (từ 2 đến 9)."
"水平 (shuǐpíng)","trình độ","Mức độ năng lực trong một lĩnh vực nào đó."
"样 (yàng)","kiểu, loại","Hình dáng hoặc cách thức của sự vật."
"这样 (zhèyàng)","như thế này","Chỉ cách làm, thái độ hoặc tình huống này."
"系 (xì)","khoa (trường học)","Đơn vị phân chia ngành học trong đại học."
"性格 (xìnggé)","tính cách","Bản chất tâm lý riêng của mỗi người."
"活泼 (huópo)","hoạt bát, năng động","Tính cách vui vẻ, nhanh nhẹn, hướng ngoại."
"最好 (zuìhǎo)","tốt nhất là","Lời khuyên nên làm theo phương án tối ưu."
"善良 (shànliáng)","tốt bụng, hiền lành","Bản chất lương thiện, hay giúp người."
"温柔 (wēnróu)","dịu dàng, nhẹ nhàng","Sắc thái mềm mại trong tính cách hoặc cử chỉ."
"哪里 (nǎlǐ)","đâu có","Lời nói khiêm tốn khi được người khác khen."
"差得远 (chàdeyuǎn)","kém xa, thua xa","Mức độ chênh lệch lớn về năng lực."
"差不多 (chàbuduō)","xấp xỉ, gần như","Sự tương đồng gần như hoàn toàn."
"差 (chā)","kém, tệ, thiếu","Năng lực không tốt hoặc số lượng chưa đủ."
"左右 (zuǒyòu)","khoảng","Dùng sau số lượng để chỉ mức ước chừng."
"早睡早起 (zǎoshuì zǎoqǐ)","ngủ sớm dậy sớm","Thói quen sinh hoạt lành mạnh."
"晚睡晚起 (wǎnshuì wǎnqǐ)","ngủ muộn dậy muộn","Thói quen sinh hoạt không tốt cho sức khỏe."
"规律 (guīlǜ)","quy luật, nề nếp","Sự lặp lại có tính toán hoặc thói quen khoa học."
"开玩笑 (kāiwánxiào)","nói đùa, trêu chọc","Dùng lời nói để tạo sự vui vẻ, không thật."
"够 (gòu)","đủ","Đạt tới mức độ hoặc số lượng cần thiết."
"像 (xiàng)","giống như, có vẻ","Sự tương đồng về vẻ ngoài hoặc tính chất."
"年轻 (niánqīng)","trẻ trung","Chỉ những người ở độ tuổi thanh niên."
"偶然 (ǒurán)","tình cờ, ngẫu nhiên","Sự việc xảy ra không có sự sắp đặt trước."
"年级 (niánjí)","năm học, khối lớp","Cấp bậc học tập theo từng năm."
"感谢 (gǎnxiè)","cảm ơn, biết ơn","Bày tỏ lòng tri ân đối với người giúp đỡ."
"后来 (hòulái)","về sau, sau đó","Chỉ sự việc xảy ra sau một sự việc khác (quá khứ)."
"一边……一边 (yībiān...yībiān)","vừa... vừa...","Thực hiện hai hành động cùng một lúc."
"德国 (Déguó)","nước Đức","Tên một quốc gia ở Châu Âu."
"学院 (xuéyuàn)","học viện","Cơ sở giáo dục bậc đại học/cao đẳng."
"小卖部 (xiǎomàibù)","tiệm tạp hóa nhỏ","Cửa hàng bán đồ vặt trong trường hoặc khu phố."
"听见 (tīngjiàn)","nghe thấy","Âm thanh lọt vào tai một cách tự nhiên."
"闹钟 (nàozhōng)","đồng hồ báo thức","Thiết bị dùng để hẹn giờ thức giấc."
"响 (xiǎng)","reo, vang, kêu","Âm thanh phát ra từ thiết bị hoặc nhạc cụ."
"铃 (líng)","chuông","Vật phát ra âm thanh báo hiệu (chuông cửa, xe đạp)."
"才 (cái)","mới","Chỉ hành động xảy ra muộn hoặc khó khăn mới đạt được."
"醒 (xǐng)","tỉnh dậy, tỉnh ngộ","Trạng thái kết thúc việc ngủ hoặc say."
"刷牙 (shuāyá)","đánh răng","Vệ sinh răng miệng hàng ngày."
"洗脸 (xǐliǎn)","rửa mặt","Vệ sinh khuôn mặt hàng ngày."
"来得及 (láidejí)","còn kịp","Vẫn còn đủ thời gian để thực hiện việc gì đó."
"怪不得 (guàibude)","hèn chi, chẳng trách","Nhận ra nguyên nhân của một vấn đề (giống nánguài)."
"总是 (zǒngshì)","luôn luôn, lúc nào cũng","Hành động lặp lại liên tục, không thay đổi."
"酒吧 (jiǔbā)","quán bar","Nơi bán đồ uống có cồn và nghe nhạc."
"夜里 (yèli)","ban đêm","Khoảng thời gian trời tối trong ngày."
"饿 (è)","đói bụng","Cảm giác cần ăn thực phẩm."
"饱 (bǎo)","no bụng","Trạng thái sau khi đã ăn đủ."
"好像 (hǎoxiàng)","hình như, dường như","Sự phán đoán về một sự việc không chắc chắn."
"好 (hǎo)","rất, quá","Dùng trước từ chỉ số lượng để nhấn mạnh (vd: hǎo jǐ gè)."
"之所以……是因为 (zhīsuǒyǐ...shìyīnwéi)","sở dĩ... là vì","Cấu trúc nêu kết quả trước, nguyên nhân sau."
"所以 (suǒyǐ)","cho nên","Liên từ chỉ kết quả của một sự việc."
"接待 (jiēdài)","tiếp đãi, tiếp đón","Chào đón khách một cách nồng hậu."
"心疼 (xīnténg)","không nỡ, đau lòng","Cảm giác xót xa, thương cảm cho ai đó."
"台灯 (táidēng)","đèn bàn","Đèn nhỏ dùng để học tập hoặc làm việc tại bàn."
"盏 (zhǎn)","ngọn (đèn)","Lượng từ dùng cho các loại đèn hoặc chén nhỏ."
"互相 (hùxiāng)","lẫn nhau","Hành động tương tác qua lại giữa hai bên."
"适应 (shìyìng)","thích ứng, quen với","Làm cho bản thân phù hợp với môi trường mới."
"段 (duàn)","đoạn, khoảng","Lượng từ cho thời gian, con đường hoặc video."
"吵架 (chǎojià)","cãi nhau","Dùng lời nói gay gắt để tranh luận."
"打架 (dǎjià)","đánh nhau","Hành động dùng vũ lực để giải quyết mâu thuẫn."
"每当……的时候 (měidāng...de shíhou)","mỗi khi...","Chỉ một thời điểm lặp lại thường xuyên."
"之一 (zhīyī)","một trong số","Chỉ một cá thể nằm trong một nhóm lớn hơn."
"开朗 (kāilǎng)","cởi mở, vui vẻ","Tính cách yêu đời, dễ giao tiếp với mọi người."
"乐于助人 (lèyú zhùrén)","vui vẻ giúp người","Sẵn lòng hỗ trợ người khác khi họ gặp khó khăn."
"关系 (guānxì)","quan hệ, liên quan","Sự kết nối giữa người với người hoặc sự việc."
"不管 (bùguǎn)","bất kể, cho dù","Dùng trong câu chỉ điều kiện không thay đổi kết quả."
"真诚 (zhēnchéng)","chân thành","Thái độ thật lòng, không giả dối."
"幸运 (xìngyùn)","may mắn","Gặp được những điều tốt lành bất ngờ."
"辛苦 (xīnkǔ)","vất vả, cực khổ","Nỗ lực bỏ ra nhiều sức lao động."
"真的 (zhēnde)","thật sự","Nhấn mạnh tính xác thực của sự việc."
"真正 (zhēnzhèng)","chân chính, thực sự","Bản chất thực sự của sự vật, con người."
